Species	Sacing	Plot	Rep	AUG	OCT	AvSSI	AvERD	AvELEV	AvSLOPE	AvROUGH	AvRUGG	DomForm	DomTexture	Oakleaf	Glenrosa	Tukulu	Westleigh	FineSandyLoam	FineSand	LoamyFineSand
CX	1	P1	1	2	3	5.85	69.52	380.22	11.80	46.64	53.40	Oakleaf	FineSandyLoam	1	0	0	0	1	0	0
EU	5	P2	1	2	1	5.65	66.16	384.19	18.37	57.78	51.58	Glenrosa	FineSand	0	1	0	0	0	1	0
EG	2	P3	1	0	2	7.32	79.00	389.73	14.24	50.47	43.30	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CA	2	P5	1	9	35	6.92	78.41	396.50	13.21	65.00	65.80	Tukulu	FineSandyLoam	0	0	1	0	1	0	0
EU	1	P9	1	10	7	6.95	77.28	384.93	14.22	54.16	52.90	Oakleaf	FineSandyLoam	1	0	0	0	1	0	0
CA	3	P10	1	1	7	7.15	78.10	386.99	14.29	56.05	56.27	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EG	5	P11	1	0	0	6.55	72.68	391.39	15.47	52.17	51.20	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
CX	2	P12	1	8	3	6.40	71.66	397.11	17.21	64.28	61.86	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
CX	5	P13	1	2	1	7.03	78.14	382.34	9.87	40.72	40.85	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EU	3	P15	1	2	1	6.16	67.61	388.67	13.83	49.76	47.51	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
CA	1	P16	1	0	6	6.02	66.01	390.47	14.53	57.99	55.16	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EG	3	P17	1	0	0	6.29	69.49	392.71	23.01	58.05	54.68	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EG	1	P18	1	3	0	7.27	79.16	379.23	16.68	47.49	51.96	Westleigh	LoamyFineSand	0	0	0	1	0	0	1
CA	5	P19	1	0	3	7.23	78.51	383.14	10.61	36.39	31.40	Westleigh	FineSandyLoam	0	0	0	1	1	0	0
CX	3	P20	1	1	0	7.38	79.17	386.84	13.17	39.00	52.72	Westleigh	FineSand	0	0	0	1	0	1	0
EU	2	P21	1	3	3	6.98	76.40	389.34	16.92	41.15	40.62	Tukulu	FineSandyLoam	0	0	1	0	1	0	0
EU	3	P23	2	2	0	5.82	78.94	371.97	16.15	44.33	40.66	Glenrosa	FineSandyLoam	0	1	0	0	1	0	0
CX	1	P25	2	17	9	6.80	78.54	362.37	10.79	44.52	44.64	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EU	5	P26	2	6	5	6.76	78.23	364.80	7.70	49.33	41.31	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EG	3	P27	2	2	0	6.79	78.83	366.67	7.35	33.43	38.53	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
CX	5	P29	2	1	1	6.13	78.71	371.21	9.54	51.67	36.27	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CA	1	P30	2	7	12	7.18	79.20	372.33	10.06	34.21	32.94	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EG	2	P31	2	7	1	6.86	78.59	372.44	10.55	32.57	36.63	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CA	2	P32	2	4	19	6.16	76.56	357.60	10.69	49.32	47.17	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CX	3	P33	2	2	2	6.33	77.29	360.12	12.10	40.52	42.92	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CA	5	P35	2	2	6	6.77	78.17	362.97	15.44	49.00	46.62	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EG	1	P37	2	2	0	6.46	78.27	365.84	22.99	39.36	36.97	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EU	2	P38	2	19	5	6.68	78.11	366.73	11.87	48.24	44.31	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EG	5	P40	2	3	0	5.98	78.34	367.67	11.32	44.67	38.86	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EU	1	P44	2	11	6	6.92	78.21	359.53	16.27	43.14	44.15	Glenrosa	LoamyFineSand	0	1	0	0	0	0	1
CX	2	P46	2	4	1	6.84	76.92	362.26	9.06	44.65	42.91	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
CA	3	P47	2	4	3	7.19	78.42	363.15	9.01	59.76	48.85	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
EU	3	P50	3	2	0	5.87	68.24	350.41	9.73	49.19	57.64	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EG	2	P51	3	4	5	5.92	64.48	351.39	20.07	40.38	40.60	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EU	5	P52	3	0	2	5.53	74.30	353.44	11.05	48.67	45.58	Tukulu	LoamyFineSand	0	0	1	0	0	0	1
CX	1	P54	3	5	4	6.28	74.03	356.20	10.21	32.30	32.04	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EU	2	P55	3	16	8	6.48	71.96	356.61	8.52	30.07	28.04	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CX	5	P56	3	4	1	6.36	69.47	358.13	9.95	42.00	44.66	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CA	1	P57	3	7	13	6.22	66.69	359.16	9.39	34.65	35.62	Oakleaf	FineSandyLoam	1	0	0	0	1	0	0
CA	3	P60	3	1	9	5.62	67.31	349.69	9.73	44.10	39.14	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CA	5	P62	3	2	4	5.92	72.94	352.46	8.75	54.61	49.65	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CX	3	P63	3	2	0	6.50	73.84	353.68	7.67	39.48	47.19	Oakleaf	FineSandyLoam	1	0	0	0	1	0	0
EG	1	P64	3	17	11	6.50	73.45	354.01	14.20	39.33	43.39	Oakleaf	FineSandyLoam	1	0	0	0	1	0	0
CA	2	P65	3	7	16	6.48	72.16	354.24	10.10	45.24	42.72	Oakleaf	FineSandyLoam	1	0	0	0	1	0	0
EG	3	P66	3	5	3	6.46	71.73	354.47	13.33	36.00	35.41	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
EU	1	P70	3	24	7	6.74	76.92	350.53	11.39	38.72	40.11	Oakleaf	FineSandyLoam	1	0	0	0	1	0	0
EG	5	P71	3	4	4	6.91	78.77	350.57	10.30	42.33	36.06	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
CX	2	P72	3	3	4	6.07	71.41	346.31	10.24	42.04	45.41	Oakleaf	LoamyFineSand	1	0	0	0	0	0	1
