VAR	AUG	OCT	SCORE	Cartref	Glenrosa	Oakleaf	Tukulu	Westleigh	FineSand	FineSandyLoam	LoamyFineSand	SoilSuitIndex	EffectRootDepth	Elevation	Slope	Roughness	Ruggedness
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	381	10	85	40
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	14	15	35
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	8	38	22
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	381	14	29	24
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	11	54	142
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	6	90	51
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	381	15	78	89
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	11	109	73
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	12	87	54
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	381	15	76	133
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	9	44	44
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	10	90	51
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	381	11	17	57
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	10	24	96
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	20	142	103
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	381	9	54	69
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	11	35	45
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	13	28	159
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	381	11	67	114
CX	0	1	1	0	0	1	0	0	0	1	0	6	68	380	25	53	46
CX	1	0	1	0	0	1	0	0	0	1	0	6	69	380	6	89	75
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	11	52	18
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	16	71	66
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	13	24	59
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	11	54	28
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	8	71	49
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	9	89	56
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	19	42	54
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	14	54	44
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	9	34	54
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	18	17	103
CX	1	0	1	0	0	1	0	0	0	1	0	6	68	380	12	47	39
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	4	28	43
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	6	16	9
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	25	62	54
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	14	87	75
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	9	70	58
CX	0	1	1	0	0	1	0	0	0	1	0	6	69	380	11	56	122
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	15	46	12
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	14	35	68
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	5	42	49
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	23	42	61
CX	0	0	0	0	0	1	0	0	0	1	0	6	68	380	26	25	56
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	12	62	98
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	21	45	71
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	25	37	30
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	9	92	63
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	27	61	35
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	4	58	101
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	7	31	32
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	2	78	62
CX	0	0	0	0	0	1	0	0	0	1	0	6	69	380	7	20	12
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	11	51	51
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	3	39	77
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	11	58	30
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	54	84	157
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	5	12	20
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	3	18	13
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	14	76	51
CX	0	1	1	0	0	1	0	0	0	1	0	6	71	380	6	13	16
CX	0	0	0	0	0	1	0	0	0	1	0	6	70	380	4	28	43
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	8	20	28
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	5	108	58
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	10	29	19
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	8	6	45
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	10	25	17
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	1	27	23
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	5	17	20
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	7	15	22
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	2	25	19
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	13	18	16
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	7	17	53
CX	0	0	0	0	0	1	0	0	0	1	0	6	71	380	5	84	81
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	12	14	20
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	14	26	23
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	9	16	11
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	13	10	19
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	14	18	21
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	21	22	121
CX	0	0	0	0	0	1	0	0	0	1	0	6	72	380	15	40	39
CX	0	0	0	0	0	1	0	0	0	1	0	6	73	380	7	10	9
CA	0	0	0	0	0	1	0	0	0	0	1	7	77	388	1	69	58
CA	0	1	1	0	0	1	0	0	0	0	1	7	77	388	18	85	80
CA	1	1	2	0	0	1	0	0	0	0	1	7	77	387	2	13	104
CA	0	0	0	0	0	0	1	0	0	0	1	7	77	388	9	33	37
CA	0	0	0	0	0	1	0	0	0	0	1	7	77	388	8	50	36
CA	0	1	1	0	0	1	0	0	0	0	1	7	77	387	30	82	36
CA	0	1	1	0	0	0	1	0	0	0	1	7	78	388	9	96	104
CA	0	1	1	0	0	0	1	0	0	0	1	7	78	387	24	53	48
CA	0	0	0	0	0	0	1	0	0	0	1	7	78	387	10	44	29
CA	0	0	0	0	0	0	1	0	0	0	1	7	78	387	3	22	13
CA	0	0	0	0	0	0	1	0	0	0	1	7	78	387	13	57	77
CA	0	0	0	0	0	0	1	0	0	0	1	7	78	387	35	63	61
CA	0	0	0	0	0	0	1	0	0	0	1	7	78	387	23	58	75
CA	0	0	0	0	0	0	1	0	0	0	1	7	78	387	6	21	19
CA	0	0	0	0	0	0	1	0	0	0	1	7	78	386	7	21	46
CA	0	1	1	0	0	0	1	0	0	0	1	7	79	387	5	56	47
CA	0	0	0	0	0	0	1	0	0	0	1	7	79	386	16	45	19
CA	0	0	0	0	0	0	1	0	0	0	1	7	79	386	22	64	57
CA	0	0	0	0	0	0	1	0	0	0	1	7	79	387	23	41	27
CA	0	1	1	0	0	0	1	0	0	0	1	7	79	386	26	68	78
CA	0	0	0	0	0	0	1	0	0	0	1	7	79	386	12	136	132
EG	0	0	0	0	0	0	1	0	0	0	1	7	73	393	10	85	45
EG	0	0	0	0	0	0	1	0	0	0	1	7	73	393	12	16	17
EG	0	0	0	0	0	0	1	0	0	0	1	7	74	392	9	35	28
EG	0	0	0	0	0	0	1	0	0	0	1	7	74	392	35	69	89
EG	0	0	0	0	0	0	1	0	0	0	1	7	75	391	14	27	51
EG	0	0	0	0	0	0	1	0	0	0	1	7	76	390	18	127	115
